,angle_id,angle_val,frame_name,travelled_dist
0,"[117, 117, 117, 118, 119, 119, 119, 119, 119, 119]","[0.0010389390634089964, 0.003490658476948738, 0.006233516622372111, 0.023837438906472504, 0.03220005114149144, 0.027925267815589905, 0.033276625206141365, 0.033986320752989164, 0.03316125646233559, 0.02703264515815083]",center/1479424215880976321.jpg,"[0.0, 2.1677148464764695, 4.432220177530368, 6.958004707503364, 9.1257200668643, 11.514011458981619, 13.681727119609, 16.32108661705235, 18.488802618969366, 21.12816274703459]"
1,"[117, 117, 118, 119, 119, 119, 119, 119, 119, 118]","[0.003490658476948738, 0.005235987715423107, 0.01429746654478319, 0.03316125646233559, 0.029587548535960774, 0.02799236411369295, 0.03661174833634874, 0.03316125646233559, 0.03135040807372914, 0.024395335362954514]",center/1479424215930775951.jpg,"[0.0, 2.1677149314333564, 4.8070730825551165, 6.974788358181497, 9.414320750017081, 11.509460616819517, 14.14881995537532, 16.3165358718728, 18.5825327470209, 20.90438670068982]"
2,"[117, 117, 118, 119, 119, 119, 119, 119, 119, 118]","[0.003490658476948738, 0.006233516622372111, 0.023837438906472504, 0.03220005114149144, 0.027925267815589905, 0.033276625206141365, 0.033986320752989164, 0.03316125646233559, 0.02703264515815083, 0.01656735340763321]",center/1479424215980916687.jpg,"[0.0, 2.264505331053899, 4.790289861026896, 6.9580052203878315, 9.346296612505151, 11.514012273132533, 14.153371770575884, 16.321087772492902, 18.960447900558126, 20.814285654103557]"
3,"[117, 118, 119, 119, 119, 119, 119, 119, 118, 117]","[0.005235987715423107, 0.01429746654478319, 0.03316125646233559, 0.029587548535960774, 0.02799236411369295, 0.03661174833634874, 0.03316125646233559, 0.03135040807372914, 0.024395335362954514, 0.006981316953897476]",center/1479424216030737492.jpg,"[0.0, 2.63935815112176, 4.80707342674814, 7.246605818583724, 9.34174568538616, 11.98110502394196, 14.148820940439442, 16.41481781558754, 18.73667176925646, 20.822148595865126]"
4,"[117, 118, 119, 119, 119, 119, 119, 119, 118, 117]","[0.006233516622372111, 0.023837438906472504, 0.03220005114149144, 0.027925267815589905, 0.033276625206141365, 0.033986320752989164, 0.03316125646233559, 0.02703264515815083, 0.01656735340763321, 0.006981316953897476]",center/1479424216080827865.jpg,"[0.0, 2.525784529972996, 4.693499889333932, 7.081791281451251, 9.249506942078632, 11.888866439521983, 14.056582441439, 16.695942569504226, 18.549780323049657, 21.189141007841023]"
5,"[118, 119, 119, 119, 119, 119, 119, 118, 117, 117]","[0.01429746654478319, 0.03316125646233559, 0.029587548535960774, 0.02799236411369295, 0.03661174833634874, 0.03316125646233559, 0.03135040807372914, 0.024395335362954514, 0.006981316953897476, 0.006981316953897476]",center/1479424216130778849.jpg,"[0.0, 2.1677152756263802, 4.607247667461964, 6.7023875342644, 9.341746872820202, 11.509462789317684, 13.775459664465783, 16.097313618134706, 18.18279044474337, 20.822151287694503]"
6,"[118, 119, 119, 119, 119, 119, 119, 118, 117, 118]","[0.023837438906472504, 0.03220005114149144, 0.027925267815589905, 0.033276625206141365, 0.033986320752989164, 0.03316125646233559, 0.02703264515815083, 0.01656735340763321, 0.006981316953897476, 0.015707964077591896]",center/1479424216180687241.jpg,"[0.0, 2.167715359360936, 4.556006751478256, 6.723722412105636, 9.363081909548987, 11.530797911466003, 14.170158039531227, 16.023995793076658, 18.663356477868028, 20.83107312275534]"
7,"[119, 119, 119, 119, 119, 119, 118, 117, 117, 118]","[0.03316125646233559, 0.029587548535960774, 0.02799236411369295, 0.03661174833634874, 0.03316125646233559, 0.03135040807372914, 0.024395335362954514, 0.006981316953897476, 0.006981316953897476, 0.01919213674109359]",center/1479424216230735818.jpg,"[0.0, 2.4395323918355842, 4.53467225863802, 7.174031597193822, 9.341747513691304, 11.607744388839404, 13.929598342508326, 16.01507516911699, 18.654436012068125, 20.822152742203997]"
8,"[119, 119, 119, 119, 119, 119, 118, 117, 118, 118]","[0.03220005114149144, 0.027925267815589905, 0.033276625206141365, 0.033986320752989164, 0.03316125646233559, 0.02703264515815083, 0.01656735340763321, 0.006981316953897476, 0.015707964077591896, 0.01745329238474369]",center/1479424216280736012.jpg,"[0.0, 2.3882913921173192, 4.5560070527447, 7.195366550188051, 9.363082552105066, 12.00244268017029, 13.856280433715721, 16.495641118507088, 18.663357763394398, 21.302719079682618]"
9,"[119, 119, 119, 119, 119, 118, 117, 117, 118, 118]","[0.029587548535960774, 0.02799236411369295, 0.03661174833634874, 0.03316125646233559, 0.03135040807372914, 0.024395335362954514, 0.006981316953897476, 0.006981316953897476, 0.01919213674109359, 0.015707964077591896]",center/1479424216330780633.jpg,"[0.0, 2.095139866802436, 4.734499205358238, 6.90221512185572, 9.16821199700382, 11.490065950672742, 13.575542777281406, 16.21490362023254, 18.382620350368413, 21.02198182522729]"
