,X,steering_angles,travelled_dist,y
0,"['CH3_002_output/center/1480702291499527569.jpg', 'CH3_002_output/center/1480702351359257889.jpg', 'CH3_002_output/center/1480702403268815801.jpg']","[-0.136135682464, -0.136135682464, -0.136135682464, -0.136135682464, -0.136135682464, -0.13788101077099998, -0.13788101077099998, -0.13788101077099998, -0.13788101077099998, -0.37380490937399996, -1.4731204846200001, -1.5373059150100001, -2.30873040507, -3.1523531639099995, -3.45830885634, -4.337691707049999, -8.26064300537, -8.2920589447, -8.30078601837, -8.30078601837, -8.30182469378, 6.1360168563699995, 8.234346908360001, 8.201302528380001, 8.18644803748]","[0.0, 3.7226585461606567, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 7.3698541589337125, 8.044513785830523, 9.143909807943624, 10.243217359086731, 10.66786535772749, 12.017272831741492, 12.44192083003023, 13.541228280345901, 14.640624130773265, 15.315283549114119, 16.41459093158112, 17.089338748811628, 17.51398674644193, 18.613382527963385, 19.2880418441924, 20.13733784144032, 21.23664508536339]","[817, 817, 817, 817, 817, 816, 816, 816, 816, 793, 683, 676, 599, 515, 484, 396, 4, 1, 0, 0, 0, 1444, 1654, 1651, 1649]"
1,"['CH3_002_output/center/1480702443525570961.jpg', 'CH3_002_output/center/1480702445325966283.jpg', 'CH3_002_output/center/1480702447076208639.jpg']","[0.161928537006, 0.15332131261499998, 0.137373444215, 0.108275601663, 0.0715280761866, 0.0309502395515, -0.00415891908817, -0.033445650685700004, -0.057142021546999995, -0.0704694939997, 0.0903816162605, -0.0226892810315, -0.5493849598030001, -0.9745460324690001, -1.27761322812, -1.3212141990700002, -1.3212141990700002, -1.31946885586, -1.31946885586, -1.31946885586, -1.31946885586, -1.31946885586, -1.31946885586, -1.31946885586, -1.31946885586]","[0.0, 3.897206343415546, 7.119842116110294, 7.119842116110294, 7.119842116110294, 7.119842116110294, 7.119842116110294, 7.119842116110294, 7.119842116110294, 7.6498881572707855, 8.007336534081542, 8.007336534081542, 8.856632531415217, 9.956028548739488, 10.805324544998127, 11.904632236448162, 12.329280234345957, 13.178576230921017, 14.027872227883535, 15.127179988331447, 16.226576146165506, 16.651224144647188, 18.00063196172948, 18.67529165681507, 19.349951348113983, 20.44934747271626, 21.29864346861572]","[846, 845, 844, 841, 837, 833, 830, 827, 824, 823, 839, 828, 775, 733, 702, 698, 698, 698, 698, 698, 698, 698, 698, 698, 698]"
2,"['CH3_002_output/center/1480702544991767543.jpg', 'CH3_002_output/center/1480702545541868618.jpg', 'CH3_002_output/center/1480702546091971078.jpg']","[-0.10297442227600001, -0.10102611136800001, -0.0977384373546, -0.0977384373546, -0.09599310904740001, -0.09599310904740001, -0.09599310904740001, -0.0942477807403, -0.0883317608378, -0.0103180512424, 0.128525098294, 0.272239121854, 0.412848648098, 0.530221994304, 0.710095187005, 0.741990378382, 0.7470009326929999, 0.791081911574, 0.837809304327, 0.8432279053849999, 0.862105329984, 0.842862503451, 0.7172885811390001, 0.5866688248899999, 0.481260440962]","[0.0, 3.5301129805029925, 7.779189700442739, 7.779189700442739, 8.20383769895879, 8.20383769895879, 8.882313609921418, 9.23509416130312, 9.65974215964969, 9.65974215964969, 10.456918701551086, 10.456918701551086, 10.881566699357082, 10.881566699357082, 11.6788180284295, 11.6788180284295, 12.925212400375207, 13.349849266298282, 14.14710047923643, 15.368924790163648, 15.793572788617729, 17.01539704097084, 18.114791861046733, 18.539439858680495, 19.638746175601817, 20.488042172482572, 21.587436819098926]","[820, 820, 820, 820, 821, 821, 821, 821, 821, 829, 843, 857, 871, 883, 901, 904, 905, 909, 914, 915, 916, 914, 902, 889, 878]"
3,"['CH3_002_output/center/1480702550742855804.jpg', 'CH3_002_output/center/1480702551542956907.jpg', 'CH3_002_output/center/1480702552642926838.jpg']","[0.0802851468325, 0.0820304751396, 0.08312318326719999, 0.0857255707734, 0.09119602485369999, 0.111304878872, 0.148900431568, 0.20890936349599998, 0.289388129837, 0.38702525568199997, 2.50785488577, 3.7938806082800003, 4.809660071540001, 5.448801309380001, 6.008231928430001, 6.200826076269999, 6.10127450643, 5.6851073447000005, 5.20842268264, 4.9362204617500005, 4.33641129284, 3.90810519826, 2.90207674862, 2.75410496634, 2.27594206295]","[0.0, 3.595160828765394, 7.067803244898444, 7.067803244898444, 7.067803244898444, 7.492451243573681, 7.492451243573681, 7.492451243573681, 7.492451243573681, 7.492451243573681, 7.492451243573681, 7.917099240232745, 9.016404081809663, 9.865700078370384, 10.714996075545205, 11.512245660239063, 12.361541655272234, 13.21083765232882, 14.060133648630226, 14.909429644257528, 15.75872564097816, 16.8581183989338, 17.707414395241702, 18.666577969407204, 19.515862833869967, 20.19060738766891, 21.039903384282944]","[838, 838, 838, 839, 839, 841, 845, 851, 859, 869, 1081, 1210, 1311, 1375, 1431, 1451, 1441, 1399, 1351, 1324, 1264, 1221, 1120, 1106, 1058]"
4,"['CH3_002_output/center/1480702560844658218.jpg', 'CH3_002_output/center/1480702561344559523.jpg', 'CH3_002_output/center/1480702561894656696.jpg']","[-0.025500172549200003, -0.0466544163552, -0.054105207324, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0523598790169, -0.0488692186773, -0.0471238903701, -0.0471238903701, -0.0471238903701, -0.0471238903701, -0.0465799952891, -0.0233905844734]","[0.0, 3.6706124934744033, 7.1615110715301595, 7.1615110715301595, 7.836166232530043, 8.2608142315496, 8.2608142315496, 8.935557789301503, 9.360205786822414, 10.03486087815069, 10.03486087815069, 10.45950887584295, 11.134252362345523, 11.134252362345523, 11.931425710321264, 11.931425710321264, 12.728599027681849, 13.525847159176044, 14.323020417101489, 14.997763768966546, 16.09979484213436, 17.138239676457648, 17.562887674075927, 18.662278920902413, 19.336933703070454, 20.134181660272862, 21.233484371961342]","[828, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 825, 828]"
5,"['CH3_002_output/center/1480702566045951416.jpg', 'CH3_002_output/center/1480702566595963979.jpg', 'CH3_002_output/center/1480702567095925222.jpg']","[-0.225018265883, -0.30652992238000004, -0.401546339938, -0.48303321667599997, -0.557904132611, -0.624039542907, -0.685131484269, -0.751457147678, -0.814115734594, -0.8784830759100001, -0.949895172598, -1.0073656656299999, -1.14144667393, -1.1118979576299999, -1.0015433764200001, -0.942477822304, -0.940732479095, -0.940732479095, -0.940732479095, -0.940732479095, -0.940732479095, -0.954695105553, -0.970835085124, -0.976492899635, -1.0018190145499999]","[0.0, 4.0164632112772605, 7.314457511966824, 7.314457511966824, 7.314457511966824, 7.739105509795224, 8.413759399217291, 8.413759399217291, 8.413759399217291, 9.21100660050142, 9.21100660050142, 9.21100660050142, 9.21100660050142, 10.008178930187963, 10.805351228245197, 11.904741412065336, 12.329389410150066, 13.428691125985871, 14.103433241197619, 15.202734886310022, 16.424543881158204, 16.849191879242515, 17.523933854560696, 18.623235363103422, 19.472531358571807, 20.14727323371583, 21.246574642312652]","[808, 799, 790, 782, 774, 768, 762, 755, 749, 742, 735, 729, 716, 719, 730, 736, 736, 736, 736, 736, 736, 735, 733, 732, 730]"
6,"['CH3_002_output/center/1480702577597507815.jpg', 'CH3_002_output/center/1480702578197656508.jpg', 'CH3_002_output/center/1480702578747718977.jpg']","[2.69135478874, 2.63787150984, 2.5977183247, 2.56056191897, 2.52694220208, 2.4746345848400004, 2.40636269104, 2.32887615853, 2.23941050038, 2.14305278465, 2.03236498053, 1.89343884199, 1.71145648037, 1.5661583700600001, 1.43826491434, 1.34039068127, 1.26315651949, 1.13838516858, 1.0803588628799998, 1.07832612971, 0.986090474304, 0.839089035035, 0.552088020043, 0.38266669450499996, 0.321974258944]","[0.0, 3.7980891543910067, 7.718683644680378, 7.718683644680378, 7.718683644680378, 8.515855245190112, 8.515855245190112, 9.190596673617799, 9.61524467142041, 9.61524467142041, 10.289897699761667, 10.714545697867685, 11.38919876260236, 11.435607589073415, 11.813846761572014, 12.488588292760497, 12.913236290773456, 13.587889427405548, 14.012537425502337, 15.111927024242215, 15.909098828839157, 16.706270664300916, 17.928165398337427, 18.72533732057246, 19.947232141989524, 20.424966859904806, 21.047914321059835]","[1099, 1094, 1090, 1086, 1083, 1078, 1071, 1063, 1054, 1045, 1033, 1020, 1001, 987, 974, 964, 957, 944, 938, 938, 929, 914, 885, 868, 862]"
7,"['CH3_002_output/center/1480702582048274604.jpg', 'CH3_002_output/center/1480702582348431767.jpg', 'CH3_002_output/center/1480702582648421015.jpg']","[-0.21413168752599998, -0.16363817464000002, -0.09815531372889999, -0.0302676047678, 0.024873238442, 0.0691637584644, 0.106044714047, 0.13944834272700002, 0.17105873453899997, 0.19257758301300001, 0.19722220301600002, 0.194035279614, 0.19080600661299998, 0.19515898548799998, 0.19722220301600002, 0.19722220301600002, 0.197764276574, 0.19896753132300002, 0.203513017152, 0.21744249687800002, 0.23171405298300002, 0.263755281124, 0.296225099033, 0.310288644656, 0.310668617487]","[0.0, 3.5430323943089093, 7.086051625650709, 7.760706270136536, 8.185354268551364, 8.982602166979389, 9.40725016497521, 10.081904910083967, 10.879078023677444, 11.303726021170679, 12.10097403550208, 12.273262212744541, 12.993570952491053, 13.418207818216867, 14.215455920195122, 15.01262920897411, 15.01262920897411, 15.80980252498014, 16.23445052395557, 17.03169874382068, 17.456346741227428, 18.152367703191686, 18.87316590235811, 19.297813898783215, 20.094987391894605, 20.519635388489146, 21.316808939603643]","[809, 814, 820, 827, 833, 837, 841, 844, 847, 849, 850, 850, 849, 850, 850, 850, 850, 850, 851, 852, 853, 857, 860, 861, 861]"
8,"['CH3_002_output/center/1480702585248753267.jpg', 'CH3_002_output/center/1480702585599078042.jpg', 'CH3_002_output/center/1480702585849221530.jpg']","[0.060846988659499994, 0.05475391184140001, 0.054105207324, 0.0530174779098, 0.04866034793380001, 0.042563788447000005, 0.0327733064272, 0.021625232940400002, 0.0191986225545, 0.0212883817704, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315, 0.0226892810315]","[0.0, 4.167893662597588, 7.408788116407874, 7.8334361143393725, 8.63068561210273, 9.055333608575005, 9.85250832390971, 10.649757908460625, 11.074405907186746, 11.871580705279028, 12.296228703066214, 13.09340356167917, 13.51805155989676, 14.315301317802879, 15.112476262398268, 15.537124260350701, 16.33437410671372, 16.759022104686707, 17.508802515405566, 17.606328954667227, 18.40350404571286, 18.828152043460687, 19.6254020354964, 20.422577213122135, 20.847225210755212, 21.64447528999294, 22.069123288755222]","[836, 836, 836, 835, 835, 834, 833, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832, 832]"
9,"['CH3_002_output/center/1480702588349889532.jpg', 'CH3_002_output/center/1480702588649705157.jpg', 'CH3_002_output/center/1480702588999451487.jpg']","[0.0, 0.0032950051858400002, 0.00349065847695, 0.005026747843609999, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.00523598771542, 0.008726646192370001, 0.0102212735856, 0.0104719754308, 0.0104719754308, 0.011672613664799998, 0.0189096185981, 0.0256013444802, 0.029670597985400005, 0.029670597985400005, 0.029670597985400005, 0.0314159281552, 0.0345703325129, 0.036000503962599996, 0.042964563983800004, 0.045378562063, 0.045378562063, 0.0471238903701]","[0.0, 3.6655469850030133, 7.741086717940052, 8.165734715855939, 8.962911087925026, 9.38754795346981, 10.184799224853304, 10.609447222261238, 11.284105953904133, 11.708753952506271, 12.505930465229195, 12.93057846300192, 13.727829879666505, 14.152477877980338, 14.949654509263427, 15.374302506638662, 15.930195323046398, 16.371162824080102, 16.79581082088668, 17.592987566513855, 18.017635564970174, 18.81481237022478, 19.239460369222247, 19.91420797996397, 20.338855977196257, 21.136032867838058, 21.56068086661091]","[830, 830, 830, 831, 831, 831, 831, 831, 831, 831, 831, 831, 831, 832, 833, 833, 833, 833, 833, 834, 834, 834, 835, 835, 835]"
