Wall time,Step,Value
1560781559.151091,0,23.148197174072266
1560781580.5863857,1,11.261082649230957
1560781601.9500027,2,9.020174026489258
1560781623.272483,3,7.7700066566467285
1560781644.636526,4,6.709331035614014
1560781666.0127106,5,5.83331823348999
1560781687.4946225,6,5.033305644989014
1560781708.919896,7,4.427193641662598
1560781730.4066725,8,3.8772382736206055
1560781751.9349627,9,3.411989688873291
1560781773.3976843,10,3.10917329788208
1560781794.8700109,11,2.7951912879943848
1560781816.3236973,12,2.522730827331543
1560781837.8005483,13,2.3167166709899902
1560781859.2254682,14,2.17974591255188
1560781880.5583677,15,1.9683051109313965
1560781902.0017014,16,1.8662275075912476
1560781923.3786361,17,1.7501075267791748
1560781944.744066,18,1.6386659145355225
1560781966.2508342,19,1.5656392574310303
1560781987.7767372,20,1.4657565355300903
1560782009.1391857,21,1.3799552917480469
1560782030.7085643,22,1.3706656694412231
1560782052.1307285,23,1.2843804359436035
1560782073.5607424,24,1.2185858488082886
1560782095.042283,25,1.2141468524932861
1560782116.4227822,26,1.125835657119751
1560782137.7715032,27,1.1202247142791748
1560782159.165873,28,1.1245521306991577
1560782180.427149,29,1.0922547578811646
1560782201.7721865,30,1.0552150011062622
1560782223.1791458,31,1.0443657636642456
1560782244.7016742,32,1.0300877094268799
1560782266.085454,33,1.0207829475402832
1560782287.5511632,34,1.0229572057724
1560782309.0541499,35,0.9599288702011108
1560782330.4918144,36,0.9415786266326904
1560782351.8527777,37,0.9177923798561096
1560782373.2574017,38,0.888677179813385
1560782394.623372,39,0.9113273620605469
